1652845651,12.11627011682733/0.5094618276880509,0.738468425227353/4.457383968119324,5.529765247425416/2.316155562172261,7.904592626529734/8.989084519595805
1652845658,4.8343937804916655/-0.44594455389478127,0.738468425227353/4.457383968119324,0.8334381279717036/3.445829469891473,3.9875440159065647/10.121935777594617
1652845666,9.402590009107922/4.402448977480541,1.3024823621891528/3.3317861896159524,0.8334381279717036/3.445829469891473,5.259498904848897/5.774681311703865
1652845673,10.438082001585956/6.228250033914014,6.237373851929192/5.200934361919561,0.5001995885529595/13.249384791282779,5.259498904848897/5.774681311703865
1652845681,8.055317424782666/8.938008684620502,8.585323365121553/7.583972562679234,0.5001995885529595/13.249384791282779,5.259498904848897/5.774681311703865
1652845688,12.200224384631506/6.536308191619023,12.456489062977084/12.278364899122371,0.5001995885529595/13.249384791282779,5.259498904848897/5.774681311703865
1652845696,14.336443255934087/5.5217093105261,5.687618292099955/14.47047922416779,0.5001995885529595/13.249384791282779,5.496174241308381/9.218135949250426
1652845703,14.336443255934087/5.5217093105261,5.687618292099955/14.47047922416779,2.499763580942499/0.7551060657528708,5.517746134082813/7.745717644829048
1652845711,9.514099951473543/4.511779702633503,5.5096930089570435/12.219590393021663,5.82011820259072/1.0653223168842532,7.461738694203632/14.277912457641213
1652845718,6.693448795013061/3.5310694493385366,5.274245902112824/5.7573605099483265,9.260890275177076/4.542868896436221,12.446589415490848/7.769571918414515
1652845726,6.1876450964095/3.9417275041654367,-0.26151380712815353/1.5440724826298329,12.71346654680309/7.714750490896176,14.227993584851902/6.544328611330201
1652845734,0.773083039215839/8.43758272479643,-0.26151380712815353/1.5440724826298329,16.162186316970065/11.162152446161642,14.227993584851902/6.544328611330201
1652845741,0.773083039215839/8.43758272479643,5.475663300581516/9.325525025808819,16.162186316970065/11.162152446161642,10.30029233522788/10.699739457385839
1652845749,3.8658687198524495/13.866718359837876,5.475663300581516/9.325525025808819,16.162186316970065/11.162152446161642,8.195528484210627/10.761370958119992
1652845756,2.841638555290949/10.162129640875047,5.475663300581516/9.325525025808819,16.162186316970065/11.162152446161642,5.841076475249281/7.82432428542208
1652845764,6.469013524223528/2.6932063063645604,5.475663300581516/9.325525025808819,8.655106096642896/10.546524991508738,13.352936138461587/15.431288935276612
1652845771,6.469013524223528/2.6932063063645604,5.475663300581516/9.325525025808819,5.799865383799329/9.754326738859564,8.517786054410067/7.091830432159448
1652845779,6.469013524223528/2.6932063063645604,5.475663300581516/9.325525025808819,6.460001775448802/14.267887190838769,5.572661621585837/6.158334836833307
1652845786,6.469013524223528/2.6932063063645604,8.2217285426172/6.819763748497264,6.460001775448802/14.267887190838769,4.695778786579808/7.267142048295671
1652845794,2.712068505756626/2.504582087564735,10.567467101378497/5.401574918287277,4.603742456192606/12.021463257873993,4.5936308143463975/7.910603956985641
1652845801,0.5537911888849822/5.254476814173618,13.448491774421086/-0.22972479981542937,2.539168260117947/5.7255556817853135,4.500510690412682/15.208830813728376
1652845809,1.028378495232503/5.879122303262254,9.53231814289208/6.302791895622479,4.335074163057527/4.532351687218423,13.19397802759994/14.545458099199077
1652845816,9.433047542008564/10.884057390133203,3.512078291738419/10.679184691325517,4.891379274814369/6.7805790163491775,11.529389275946244/8.687247768618953
1652845824,11.491290513605714/3.7109836873735595,2.5301993003801897/14.309599492491106,-0.45326341411112026/16.1809555158702,11.529389275946244/8.687247768618953
1652845832,14.15794555791196/1.8436812204117055,2.4686506444346037/13.239364566828474,2.675041490980391/13.324333712517348,11.529389275946244/8.687247768618953
1652845839,10.722664277232816/3.4605653605743143,2.4995392370279887/6.741835864748914,5.46297135220351/7.793212436632558,11.529389275946244/8.687247768618953
1652845847,10.722664277232816/3.4605653605743143,3.282279184198444/6.557672339559897,3.531325179064993/10.436071105157419,7.596296983269326/8.40401915342803
1652845854,10.722664277232816/3.4605653605743143,-0.45026268251936585/-0.23618548037746168,8.2555402597323/12.455526014736675,6.819273802941552/9.180878937208455
1652845862,10.722664277232816/3.4605653605743143,-0.45026268251936585/-0.23618548037746168,8.2555402597323/12.455526014736675,14.986401404461503/5.935144061199765
1652845869,7.529991898659912/13.300683675051399,-0.45026268251936585/-0.23618548037746168,9.179597497510827/13.231052861955689,16.268522083005337/5.540725889246367
1652845877,9.215044291237401/14.44927053895059,3.444770519107635/5.224293654476144,2.548209725554557/3.7583569131049943,16.268522083005337/5.540725889246367
1652845884,3.539263109969437/4.725963479146248,3.444770519107635/5.224293654476144,2.548209725554557/3.7583569131049943,10.739578177088674/6.457233974985338
1652845892,3.539263109969437/4.725963479146248,5.2364865262757405/7.228562645894026,10.298799918173017/1.595915270925202,10.506950761386463/3.541644385822706
1652845899,3.539263109969437/4.725963479146248,4.53420537432936/4.716920976354903,4.392452633308608/4.726603795146686,6.764769793648952/-0.497772087808801
1652845907,7.9050693051362195/4.993395305390087,11.275676972613411/13.256570620997394,1.7559647670168488/7.245516554139709,6.764769793648952/-0.497772087808801
1652845915,13.304433821395143/6.46845293104535,16.47090575534733/5.684649731828589,2.4613690415907854/13.273934231522208,7.19037642807109/0.1502804202741439
1652845922,13.304433821395143/6.46845293104535,7.7551585428088/11.452707484977648,7.507244351928364/6.779470428164052,7.19037642807109/0.1502804202741439
1652845930,13.056313573677627/6.0560960663339,7.7551585428088/11.452707484977648,14.761392612107386/12.371113468404479,7.19037642807109/0.1502804202741439
1652845937,7.505762479263598/4.864198845391616,3.5539021460872675/6.750380850190007,14.761392612107386/12.371113468404479,7.19037642807109/0.1502804202741439
1652845945,6.748124858001729/9.206495041659533,6.469249713349683/0.6912635305393313,9.508278852855597/4.993676421454342,14.279067936275226/-0.462575368599234
1652845952,9.260647003781209/7.552311493369357,3.762700633580806/3.2368286415185423,9.267139847496082/11.33802174021931,11.186960399442853/2.8132263279107796
1652845960,0.7402712670218738/7.499571620804135,3.762700633580806/3.2368286415185423,9.50297126575282/7.430358742828444,3.940401556539939/6.002930226857042
1652845967,0.7402712670218738/7.499571620804135,0.26344319199810684/1.7828700298929423,10.461162482474322/4.726099403950902,3.539722792646387/4.724601671218085
1652845975,8.38949478841218/7.046342370056106,7.041723388201234/5.086440653801847,10.461162482474322/4.726099403950902,3.539722792646387/4.724601671218085
1652845982,7.034440636861273/13.035996548806127,7.257616463492894/5.278506788800397,5.890884551667796/0.5769927643262645,-0.4432584345512396/9.242145147624242
1652845990,4.536121242220177/5.791859357822823,11.616408990106066/3.4534985495195176,2.8128983493471083/-0.45138257866873666,-0.4432584345512396/9.242145147624242
1652845997,4.536121242220177/5.791859357822823,4.721860489040722/3.4989584717545608,2.8128983493471083/-0.45138257866873666,-0.4432584345512396/9.242145147624242
1652846005,4.536121242220177/5.791859357822823,4.721860489040722/3.4989584717545608,2.8128983493471083/-0.45138257866873666,4.459032849976609/2.7277216513286935
1652846013,4.589332398197596/5.624102151158416,9.25369033313882/-0.44769044383218737,4.815302223344702/1.8132206452140314,4.459032849976609/2.7277216513286935
1652846020,1.5222252518078854/0.6657170808986543,10.461194751659718/8.274329733248777,6.471953665147794/6.319560980361279,4.5130325674554115/5.306620851803805
1652846028,1.5222252518078854/0.6657170808986543,5.8099256112063244/8.497473481625212,6.486955172811918/8.553958244272087,5.455826862526351/0.7442278510327713
1652846035,1.4773410506607667/2.0018534018802017,4.820180689715755/9.246488363952317,5.531539374157148/6.691359382416546,1.7087171777788512/0.5035626921054706
